brand,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Maruti,2007.0,70000.0,Petrol,Individual,Manual,First Owner,60000.0
Maruti,2007.0,50000.0,Petrol,Individual,Manual,First Owner,135000.0
Hyundai,2012.0,100000.0,Diesel,Individual,Manual,First Owner,600000.0
Other,2017.0,46000.0,Petrol,Individual,Manual,First Owner,250000.0
Honda,2014.0,141000.0,Diesel,Individual,Manual,Second Owner,450000.0
Maruti,2007.0,125000.0,Petrol,Individual,Manual,First Owner,140000.0
Hyundai,2016.0,25000.0,Petrol,Individual,Manual,First Owner,550000.0
Tata,2014.0,60000.0,Petrol,Individual,Manual,Second Owner,240000.0
Hyundai,2015.0,25000.0,Petrol,Individual,Manual,First Owner,850000.0
Maruti,2017.0,78000.0,CNG,Individual,Manual,First Owner,365000.0
Chevrolet,2015.0,35000.0,Petrol,Individual,Manual,First Owner,260000.0
Tata,2014.0,100000.0,Petrol,Individual,Manual,First Owner,250000.0
Toyota,2018.0,25000.0,Petrol,Dealer,Automatic,First Owner,1200000.0
Maruti,2015.0,24000.0,Petrol,Dealer,Manual,First Owner,585000.0
Hyundai,2019.0,5000.0,Diesel,Dealer,Manual,First Owner,1195000.0
Chevrolet,2013.0,33000.0,Diesel,Individual,Manual,Second Owner,390000.0
Other,2014.0,28000.0,Diesel,Dealer,Automatic,First Owner,1200000.0
Other,2013.0,59000.0,Diesel,Dealer,Automatic,First Owner,1200000.0
Maruti,2018.0,4500.0,Diesel,Dealer,Automatic,First Owner,975000.0
Other,2011.0,149534.8,Diesel,Dealer,Automatic,First Owner,1190000.0
Honda,2018.0,14500.0,Petrol,Dealer,Manual,First Owner,930000.0
Tata,2018.0,15000.0,Petrol,Individual,Manual,First Owner,525000.0
Other,2013.0,50000.0,Diesel,Dealer,Automatic,First Owner,1200000.0
Other,2012.0,33800.0,Diesel,Dealer,Automatic,Second Owner,1200000.0
Skoda,2011.0,130400.0,Diesel,Dealer,Automatic,Second Owner,450000.0
Toyota,2016.0,50000.0,Petrol,Individual,Automatic,First Owner,900000.0
Toyota,2015.0,80000.0,Diesel,Individual,Manual,First Owner,1200000.0
Other,2019.0,10000.0,Petrol,Individual,Manual,First Owner,1200000.0
Other,2010.0,119000.0,Petrol,Dealer,Automatic,First Owner,850000.0
Hyundai,2014.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,229999.0
Other,2013.0,75800.0,Diesel,Dealer,Automatic,Second Owner,1200000.0
Other,2009.0,78000.0,Diesel,Dealer,Automatic,Third Owner,1200000.0
Hyundai,2012.0,40000.0,Diesel,Individual,Manual,First Owner,625000.0
Mahindra,2014.0,50000.0,Diesel,Individual,Manual,First Owner,1050000.0
Honda,2014.0,74000.0,Diesel,Individual,Manual,Second Owner,560000.0
Maruti,2014.0,64000.0,Petrol,Individual,Manual,Second Owner,290000.0
Maruti,2012.0,60000.0,Petrol,Individual,Manual,Second Owner,275000.0
Mahindra,2009.0,120000.0,Diesel,Individual,Manual,Second Owner,411000.0
Hyundai,2009.0,79000.0,Petrol,Individual,Manual,Third Owner,150000.0
Hyundai,2019.0,15000.0,Petrol,Individual,Manual,First Owner,500000.0
Maruti,2006.0,80000.0,Petrol,Individual,Manual,First Owner,100000.0
Maruti,2017.0,18500.0,Diesel,Dealer,Manual,First Owner,725000.0
Maruti,2018.0,10200.0,Petrol,Dealer,Manual,First Owner,401000.0
Hyundai,2018.0,29000.0,Diesel,Dealer,Manual,First Owner,750000.0
Maruti,2018.0,28000.0,Petrol,Dealer,Manual,First Owner,310000.0
Maruti,2016.0,46000.0,Diesel,Dealer,Manual,First Owner,665000.0
Hyundai,2014.0,70000.0,Diesel,Dealer,Manual,First Owner,465000.0
Maruti,2012.0,60000.0,Petrol,Individual,Manual,Second Owner,160000.0
Mahindra,2001.0,35000.0,Diesel,Individual,Manual,Second Owner,250000.0
Honda,2014.0,90000.0,Diesel,Dealer,Manual,First Owner,675000.0
Maruti,2013.0,80000.0,Petrol,Dealer,Manual,First Owner,300000.0
Tata,2005.0,80000.0,Diesel,Individual,Manual,First Owner,70000.0
Hyundai,2014.0,73300.0,Petrol,Dealer,Manual,Second Owner,240000.0
Toyota,2014.0,92000.0,Diesel,Dealer,Manual,First Owner,525000.0
Maruti,2009.0,66764.0,Petrol,Dealer,Manual,Second Owner,151000.0
Maruti,2009.0,100000.0,Petrol,Individual,Manual,First Owner,140000.0
Chevrolet,2010.0,149534.8,Diesel,Individual,Manual,Second Owner,280000.0
Toyota,2011.0,149534.8,Diesel,Individual,Manual,First Owner,350000.0
Mahindra,2017.0,60000.0,Diesel,Individual,Manual,First Owner,570000.0
Hyundai,2018.0,31000.0,Petrol,Individual,Manual,First Owner,300000.0
Tata,2007.0,39000.0,Diesel,Individual,Manual,First Owner,100000.0
Toyota,2009.0,120000.0,Diesel,Individual,Manual,Third Owner,500000.0
Tata,2014.0,149534.8,Diesel,Individual,Manual,Fourth & Above Owner,125000.0
Maruti,2006.0,110000.0,Petrol,Individual,Manual,Third Owner,130000.0
Ford,2017.0,35000.0,Diesel,Individual,Manual,First Owner,925000.0
Maruti,2018.0,60000.0,Diesel,Individual,Manual,First Owner,750000.0
Honda,2007.0,54000.0,Petrol,Individual,Automatic,Second Owner,200000.0
Hyundai,2010.0,63000.0,Petrol,Individual,Manual,Second Owner,248000.0
Skoda,2014.0,120000.0,Diesel,Individual,Manual,Second Owner,450000.0
Hyundai,2005.0,120000.0,Petrol,Individual,Manual,Third Owner,80000.0
Nissan,2014.0,76000.0,Petrol,Individual,Manual,Second Owner,650000.0
Hyundai,2015.0,80000.0,Diesel,Individual,Manual,First Owner,450000.0
Hyundai,2019.0,25000.0,Diesel,Individual,Manual,First Owner,650000.0
Honda,2016.0,11958.0,Petrol,Dealer,Manual,First Owner,495000.0
Honda,2015.0,20000.0,Petrol,Dealer,Manual,First Owner,371000.0
Hyundai,2017.0,9000.0,Petrol,Dealer,Manual,First Owner,1025000.0
Other,2017.0,6500.0,Diesel,Dealer,Automatic,First Owner,1200000.0
Mahindra,2015.0,70000.0,Diesel,Individual,Manual,First Owner,750000.0
Renault,2013.0,120000.0,Diesel,Individual,Manual,First Owner,600000.0
Hyundai,2007.0,58000.0,Petrol,Dealer,Manual,Second Owner,80000.0
Mahindra,2013.0,62200.0,Diesel,Dealer,Manual,First Owner,325000.0
Other,2014.0,34000.0,Diesel,Dealer,Automatic,Second Owner,1200000.0
Other,2015.0,53000.0,Diesel,Individual,Manual,Second Owner,350000.0
Other,2013.0,49000.0,Diesel,Dealer,Automatic,First Owner,1200000.0
Other,2017.0,15000.0,Petrol,Dealer,Manual,Second Owner,210000.0
Volkswagen,2013.0,50000.0,Petrol,Individual,Manual,First Owner,450000.0
Other,2013.0,53000.0,Diesel,Dealer,Automatic,First Owner,1150000.0
Honda,2009.0,63500.0,Petrol,Dealer,Automatic,First Owner,210000.0
Other,2018.0,9800.0,Petrol,Dealer,Automatic,First Owner,1200000.0
Other,2017.0,13000.0,Diesel,Individual,Automatic,First Owner,1200000.0
Other,2018.0,21000.0,Diesel,Dealer,Automatic,First Owner,1200000.0
Maruti,2008.0,29173.0,Petrol,Dealer,Manual,First Owner,175000.0
Other,2012.0,48000.0,Diesel,Dealer,Automatic,First Owner,1200000.0
Mahindra,2017.0,120000.0,Diesel,Individual,Manual,First Owner,628000.0
Hyundai,2010.0,100000.0,Diesel,Individual,Manual,First Owner,600000.0
Nissan,2017.0,30000.0,Petrol,Individual,Manual,First Owner,399000.0
Mahindra,2018.0,87000.0,Diesel,Individual,Manual,First Owner,750000.0
